product_num,ctr_product_en_long_desc,average_rating
1425856,PADERNO Large Mortar & Pestle,5
0850004,VIDA SPATULA,5
1424973,VIDA by PADERNO 6 Piece 970ml Glass Clip Lid Food Storage,4.44
1429599,"Vida 14"" Pizza Pan",5
1422203,PADERNO Canadian Signature 13 piece Cookset,4.54
1423676,Paderno West Blade Rotary Grater,1.8
3996866,"Paderno 2-Pack Classic Frypan Combo, 26cm + 30cm",4.71
1422727,"PADERNO Yarn Dye Kitchen Towel 2 Pack, Charcoal",2
1422277,"Paderno 12"" Silicone Tong",4.71
0850011,VIDA ROTISSERIE KIT,3
1422207,"PADERNO Maple 12x18"" Roast Board",4.7
1429371,"PADERNO Montgomery 10"" Bread Knife",5
1422297,Paderno Spoonula,5
1429596,"Vida 9"" Square Pan",5
0431030,Paderno Electric Meat Grinder,3.3
0850007,VIDA NYLON REFILL,2.33
0435260,"PADERNO Power Blender, Black Stainless Steel",3.6
1422296,Paderno Spatula,3.33
1425855,"PADERNO Stainless Steel Salt, Pepper and Spice Mill",5
1429573,"Vida 8"" Chef's Knife",4.88
1429848,Paderno Belvedere Black Polished Finish Flatware Set,2.61
0435259,"PADERNO 3-Cup Food Chopper, Black Stainless Steel",4.2
1425570,Paderno Canadian Signature 5qt Non-Stick Jumbo Cooker,4.53
1424986,Vida by PADERNO 3 Piece Glass Clip Lid with 2 Compartments,3.82
1426306,Vida by PADERNO Everyday Series 10-piece Non-Stick Cookset,4.13
1429850,Paderno Summerside Champagne Matte Finish Flatware Set,1.91
1425095,Vida by Paderno 2L,4.5
1422882,"PADERNO Professional 9"" Round Cake Pan",5
1422873,"PADERNO Pearson 20 Piece Flatware Set, Satin",4.2
1424895,Paderno 10 Pre-Seasoned Smooth-Release Cast Iron Skillet,3.93
0437016,"VIDA 0.9 MWO, White & Gold",3.67
0430766,Vida 12cup Coffee Maker Stainless,2.53
1423467,PADERNO 12pc Hard Anodized Cookset,4.18
1429869,PADERNO Classic 32cm Cast Iron Honeycomb Frypan,4.17
1429697,Vida 3x4Cup Glass Food Storage Set,3.3
1429873,"Vida 13x18"" Poly Cutting Board",4.31
1429591,"Vida 9"" Springform Pan",4.6
0437014,Vida 31 Bottle Wine Cooler,3.1
1425572,PadernoClassic Non-Stick Titanium Reinforced 2qt Sauce Pan,4.51
1426340,Vida 10-Piece Everyday Series Stainless Steel Cookset,3.96
1422879,"PADERNO Mini Mitt, Charcoal",4.55
0850017,VIDA CERAMIC BAKING PAN,5
0435263,"PADERNO 1.7-Litre Electric Kettle, Black Stainless Steel",3.38
0850001,VIDA BY PADERNO PIZZA OVEN,3.74
1422208,PADERNO Mineral Oil,4.86
1424838,PADERNO Large Glass Roaster with Lid,3.8
1424781,"PADERNO 4 Pack Basket Weave Dishcloth, Charcoal",3.67
1426382,VIDA 15pc White Handle,4.13
1429699,"Paderno 6"" Round Cake Pan",4.72
1426615,Vida 11lb/5kg USB Rechargeable Kitchen Scale,4.33
0437009,Vida 1.7 Cu-Ft Matte Blk Fridge,4.5
0437041,Vida 1.6 Cu-Ft Over The Range Microwave,3.57
1425579,Paderno 12pc Champagne Bronze Non-Stick Cookware Set,4.44
1429644,Paderno Silicone Baking Sheet,4.59
1422887,PADERNO Professional 12 cup Muffin Pan,5
1424519,PADERNO Canadian Professional 12 piece Cookset,3.67
1429870,"PADERNO Signature 12"" Pre-Seasoned Cast-Iron Grill Pan",3.91
1422200,PADERNO Classic Stainless Steel Roaster,4.42
1424875,"Paderno Professional Uncoated Aluminum 9"" Round Cake Pan",4
1422288,Paderno Stainless Steel Masher,4.71
0850002,VIDA BY PADERNO PORTABLE GAS,4.15
1429370,"PADERNO Montgomery 3"" Paring Knife",4.75
1424897,Paderno Hard Anodized Roaster with Smart V-Rack,5
0430769,Vida 1.5L Variable Stainless Steel Kettle,4.56
0437012,Vida 3.3 Cu-Ft Wht/ Gld Fridge,4.11
0432736,Paderno Burr Grinder,3.06
1422969,PADERNO 4 Piece Speaders,4.92
1429588,Paderno Donut Pan,4.8
1422896,PADERNO Canadian Signature 24cm Frypan,4.6
1426743,Paderno 8-in-1 Shears,1
1422884,"PADERNO Professional 8"" Square Pan",4.38
1429312,"Paderno Paper Composite Cutting Board, 15.5 x11.5 ",4
0437071,"VIDA White, Bottom Load Water Cooler",3.24
1429368,"PADERNO Montgomery 8"" Santoku Knife",4.63
0430192,Paderno 3.5 Cup Hand Chopper,4.74
1429276,"Vida by PADERNO Acacia Wood Cutting Board 9.5 x 14""",3.86
0850003,VIDA BBQ PIZZA  HOOD,4
1424893,Paderno Laurier Polished Finish 55-Piece Flatware Set,4.4
1429565,Paderno 2pc Ceramic Roaster Set,3
1429597,"Vida 9.5"" Non-Stick Fluted Cake Pan",5
1426616,Vida 10kg/22lb Digital Backlit Scale,3.5
1426386,Vida by PADERNO Polygrip 2 Pack Sm/Med,4.73
0850015,VIDA PIZZA STONE,4.67
0431025,"Paderno 1.6cu.ft Microwave, Brushed Black",4.04
1429574,"Vida 7"" Santoku Knife",4.86
0850088,VIDA COVER SM,4.25
1425859,PADERNO Stainless Steel French Press,4.5
1429369,PADERNO Kitchen Shears,3.25
1426627,Paderno Box Grater,4.7
1422747,"PADERNO Oven Mitt with Silicone Print, Red",3.88
1422892,"PADERNO Professional 9x13"" Oblong Pan",4.83
1429566,Vida 14-PC Hallow Handle Knife Block,4.7
1422284,Paderno Safety Can Opener,1.65
1426416,Vida 3pc Square Glass Pantry Storage Container Set,4.4
0850018,VIDA Griddle,4.67
0850010,VIDA 3 PC TOOL SET,4.55
1422965,PADERNO 4 Piece Dinner Knives,4.14
1422280,Paderno Can Opener,4.68
1423402,"PADERNO Richmond 20 Piece Flatware Set, Polished",4.41
1423816,Paderno Classic 11pc Non-stick Cookset,4.19
1429871,PADERNO Signature Cast-Iron Reversible Grill and Griddle,3.21
1424874,Paderno Professional Uncoated Aluminum Half Cookie Sheet,4.89
1422281,Paderno Euro Peeler,4.78
1429594,"Vida Large Cookie Sheet, 17.25"" X 11.25""",4.5
1424521,PADERNO Classic Non-stick 30cm Frypan,4.63
1426401,PADERNO Argentia Professional Series 60PC Flatware Set,3.38
1422730,"PADERNO Basketweave Kitchen Towel 2 Pack, Charcoal",4.43
1422962,PADERNO 4 Piece Dinner Spoons,5
0853191,Vida by PADERNO Essence 4-B + SB Convertible Propane BBQ,3.72
1422886,"PADERNO Professional 18x13"" Cookie Pan",3.79
1429581,Paderno Cooling Rack,4.27
1422960,PADERNO 4 Piece Dinner Forks,5
1422205,"PADERNO Maple 12x16"" Cutting Board",5
0435262,"PADERNO High-Speed Blender, Black Stainless Steel",3.6
1429366,PADERNO 14 Piece Montgomery Knife Block Set,4.86
1422744,"PADERNO Oven Mitt with Neoprene, Red",5
1429583,Paderno Measuring Spoons,4.52
1429689,Vida Silicone with Structure Loaf Pan,4.77
0437039,Vida 0.9 Cu-Ft Stainless Steel Microwave,4.19
1422967,PADERNO 4 Piece Soup Spoons,4.88
0853190,"Vida by PADERNO Essence 2-Burner Convertible Propane BBQ
l",4.13
1422725,"PADERNO Microfiber Kitchen Towel 2 Pack, Charcoal",4.75
1426309,VIDA by PADERNO Elite 12-Piece Stainless Steel Cookset,4.25
1426303,PADERNO Classic 5-Piece Pot Protector Set,4.76
0435261,"PADERNO 10-Speed Hand Mixer, Black Stainless Steel",3.33
1429849,Paderno Caledonia Copper Matte Finish Flatware Set,3.43
0439413,Vida 2 Slice Stainless Steel Toaster,4.25
1424901,"PADERNO Signature 14"" Cordierite Ceramic Pizza Stone",3.67
0435267,PADERNO 6-Slice Convection Toaster Oven,2.86
1427395,PADERNO 25.4cm Non-Stick Champagne Frypan,4.88
0850014,VIDA SMOKER BOX,4.36
1426370,PADERNO Signature Silicone Pot Holder,5
1422898,PADERNO Canadian Signature 32cm Frypan,4.54
1425849,Paderno Classic Non-Stick Cast Iron Wok,4.1
1422283,Paderno Pizza Cutter,4.78
1429872,PADERNO Signature Pre-seasoned Cast-Iron Grill Press,4.5
1422971,PADERNO 4 Piece Mini Forks,4.92
1422713,"PADERNO Terry Kitchen Towel 2 Pack, Red",4.8
1427288,Vida By Paderno Silicone Sandwich Bag,4
0432386,"PADERNO Ice Maker, 3L ",4.3
1424996,PADERNO Signature 4-Piece Ceramic Bakeware Set,3.73
1423742,Paderno 13.6KG Kitchen Scale,3.73
1429358,PADERNO Butcher Block,4.56
1422963,PADERNO 1 Piece Serving Spoon,5
0439414,Vida 4 Slice Stainless Steel Toaster,4.48
1422204,"PADERNO Maple 16x20"" Cutting Board",4.88
1422279,Paderno Baster,4.83
0850117,Vida by PADERNO 5-Burner Gas Griddle,4.75
1422974,PADERNO 1 Piece Cake Server,4.83
1422746,"PADERNO Oven Mitt with Silicone Print, Navy",3.75
1424518,PADERNO Classic 11 piece Cookset,4.32
1429582,Paderno Measuring Cups,4.58
1426341,PADERNO 10PC Signature Stainless Steel Stacking Cookset,4.06
1425089,Vida by Paderno 1.3L,2.5
1422961,PADERNO 4 Piece Tea Spoons,5
1424839,PADERNO Medium Glass Roaster with Lid,3
1429335,Paderno Classic Wok,4.42
0435265,"PADERNO 6-Qt Programmable Slow Cooker, Black Stainless Steel",4.58
1429595,"Vida Medium Cookie Sheet, 15.5"" X 10.5""",4.8
1429690,Vida Silicone with Structure Mini Muffin Pan,4.33
0435268,"PADERNO 3.5-L Auto-Drain Deep Fryer, Black Stainless Steel",3.67
1422737,"PADERNO Terry Dishcloth 4 Pack, Charcoal",3.6
0850009,VIDA 10 PC TOOL SET,5
1426376,Paderno 4-pc Steak Knives,5
0850016,VIDA THERMOMETER,4.44
1422741,"PADERNO Silicone Oven Mitt, Red",4.5
1424894,Paderno Polished Stainless Steel Stovetop Kettle,4.07
1429874,PADERNO Precision Cold Brew Coffee Maker,4
0435270,"PADERNO Variable SPD Immersion Blender, BLK Stainless Steel",4.88
1429593,Vida 24 Cup Mini Muffin Pan,3.89
1429345,"Vida by PADERNO Faux-Granite Cutting Boards, 2 Pack",3.69
1422743,"PADERNO Silicone Oven Mitt, Charcoal",4.86
0437017,"VIDA 1.1 MWO, White & Gold",4.14
1422295,Paderno Jar Spatula,5
1429567,Vida 4-in-1 Knife Sharpener,4.31
1429372,PADERNO Montgomery 3pc Multi-Pack Knife Set,4.75
1424975,VIDA by PADERNO 6 Piece 485ml Glass Clip Lid Food Storage,4.4
0430770,Vida 6 Slice Air Fryer Toaster Oven,3.91
0435271,"PADERNO 2-Slice Even-Heat Toaster, Black Stainless Steel",3.45
1423934,PADERNO 28cm Stainless Steel Everyday Pan,5
1422897,PADERNO Canadian Signature 28cm Frypan,4.24
1422285,Paderno Spoon Rest,5
1422745,"PADERNO Silicone Oven Mitt, Navy",5
1422721,"PADERNO Terry Kitchen Towel 2 Pack, Charcoal",4.25
0431032,Paderno Electric Food Slicer,3.33
1422871,"PADERNO Laurier 20 Piece Flatware Set, Polished",4.62
1424872,"Paderno Professional Uncoated Aluminum 16"" Pizza Crisper",4.8
1429569,Vida 14-PC Japanese Steel Knife Block,4.3
1424934,Paderno Stormy Black Stainless Steel Stovetop Kettle,4.7
1428365,Vida by PADERNO 12x18 Bamboo Cutting Board,4.47
1423468,PADERNO 12pc Copper Core Stainless Steel Cookset,3.86
1425574,Paderno Classic Stainless Steel 2qt Saucepan,4.45
1422973,PADERNO 1 Piece Slotted Spoon,5
1424935,Paderno Maritime Red Stainless Steel Stovetop Kettle,4.73
0430771,Vida 5.3L Air Fryer,4.22
0850005,VIDA TONGS,3.4
1429687,Vida 3pc Silicone Baking Sheets,4.74
1426469,Paderno 30cm Cast Iron Non-Stick Jumbo Cooker,4.89
1422292,Paderno Wooden Solid Spoon,4.75
1426377,"Montgomery 5"" Utility Knife",4.92
0437010,Vida 3.3 Cu-Ft Matte Blk Fridge,4
1424520,PADERNO Classic Non-stick 26cm Frypan,4.67
1422883,"PADERNO Professional 9x5"" Loaf Pan",4.42
1429575,"Vida 5"" Santoku Knife",4.91
1422717,"PADERNO Basketweave Kitchen Towel 2 Pack, Red",4.6
1422964,PADERNO 4 Piece Salad Fork,5
1429688,Vida Silicone with Structure 12 Cup Muffin Pan,4.32
1427212,Paderno 12Pc 5-Ply Copper Core Cookset,4.54
1429584,Vida 4pc Metal Bakeware Set,4.83
1429235,Paderno 26cm Hard Anodized Frypan,5
1426468,Paderno 5 Quart Cast Iron Braiser Teal,5
1425086,Vida by Paderno 500mL,2
0431028,Paderno 1.7-Litre Variable Temperature Kettle,3.85
1422885,"PADERNO Professional 15x10"" Cookie Pan",4.2
1425087,Vida by Paderno 700mL,1
1427396,PADERNO 31.5cm Non-Stick Champagne Frypan,4.88
1422968,PADERNO 1 Piece Serving Fork,4.83
1423403,"PADERNO Richmond 20 Piece Flatware Set, Satin",3.7
1422972,PADERNO 1 Piece TONG,5
1426618,Vida by Paderno Digital Fridge/Freezer Thermometer,4.15
0850089,VIDA COVER LG,3.42
0850006,VIDA NYLON BRUSH,4.08
1426374,PADERNO Professional Salt & Pepper Shakers,3.86
0437040,Vida 1.1 Cu-Ft Stainless Steel Microwave,4.41
1426307,Vida by PADERNO Everyday Series 28cm Non-Stick Frypan,3.98
0439444,Vida by Paderno 4 Slice Toaster,2
1422278,"Paderno 12"" Stainless Steel Tong",5
1423479,PADERNO 6.5 quart Dutch Oven Red,4.89
1426753,Paderno Carving Fork,4.83
1427284,Vida by Paderno 20PCS Food Storage Set,4.81
1429592,Vida 12 Cup Muffin Pan,5
1424876,Paderno Professional Uncoated Aluminum Large Cookie Slide,5
1422298,"Paderno 11"" Stainless Steel Whisk",4.67
0430189,Vida by PADERNO Stainless Steel 3.8L Air Fryer,4.82
1427397,PADERNO 10QT Classic Non-Stick Stock Pot,4.86
0437013,Vida 4.4 Cu-Ft Wht/ Gld Frdige,2.71
1426744,Vida Stainless Steel Shears,5
1422291,Paderno Solid Turner,3.5
1423482,PADERNO 5 quart Dutch Oven Teal,4.55
1426754,Paderno Carving Knife,4.67
1427394,PADERNO 32cm 3-Ply Clad Stainless Steel Wok,4.88
1423478,PADERNO 5 quart Dutch Oven Red,4.8
1427392,PADERNO 28cm Hybrid Clad Frypan,4.92
0430191,Vida by PADERNO 1.7L Variable Temperature Glass Kettle,4.87
1422739,"PADERNO Oven Mitt with Neoprene, Charcoal",2.67
1423743,Paderno Fast Response Cooking Thermometer,3.5
1422893,"PADERNO Professional 14"" Pizza Pan",4
1426304,PADERNO Professional Series French Butter Keeper,3.71
1423675,Paderno West Blade Box Grater,2
1429840,Paderno Cranbrook Coupe Salad Plate Set,2.5
1429843,Paderno Sandbank Dinner Plate Set,5
1423466,PADERNO 11pc Nonstick Cookset,5
1429836,Paderno Bonavista Mid-Rim Salad Plate Set,5
1423937,PADERNO 12 Piece Copper Cookset,1
3994894,PADERNO Richmond 60 Piece Flatware Set,4.83
1429598,"Vida Loaf Pan, 9"" X 4.5""",5
1424779,"PADERNO 4 Pack Basket Weave Dishcloth, Red",5
1429373,PADERNO 14 Piece Highland Knife Block Set ,4.5
0850122,Vida by PADERNO Pizza Peel,3
1422728,"PADERNO Yarn Dye Kitchen Towel 2 Pack, Navy",5
1422289,Paderno Slotted Turner,3
1422287,Paderno Ladle,5
1429367,"PADERNO Montgomery 8"" Chef's Knife",5
1429590,"Vida 9"" Round Cake Pan",5
1424995,Paderno Fine Edge Arched Cake Pan,4
1425078,Vida by Paderno 6PC Set,3.67
1422970,PADERNO Ladle,5
1429236,Paderno 30cm Hard Anodized Frypan,4
0435266,Paderno 12-Cup Coffee Maker,2
0435264,Paderno 9-Cup Balanced Brew Coffee Maker,3
1424840,PADERNO Square Glass Roaster with Lid,1
0432737,Paderno Espresso Maker,4.56
0850123,Vida by PADERNO Rocker Knife,4
1422738,"PADERNO Oven Mitt with Neoprene, Light Grey",2
